"CountryID","Country.Name","WEBNAME","Region","World.Rank","Property.Rights","Judical.Effectiveness","Trade.Freedom","Corporate.Tax.Rate....","Unemployment....","Inflation...."
1,"Afghanistan","Afghanistan","Asia-Pacific",136,48.3,30,66,20,1.5,0.626
2,"Albania","Albania","Europe",57,57.1,33,88.4,15,13.9,2.029
3,"Algeria","Algeria","Middle East and North Africa",169,37.9,35,66.2,23,12.2,4.27
4,"Angola","Angola","Sub-Saharan Africa",154,36.9,14.3,66.2,30,7.3,19.629
5,"Argentina","Argentina","Americas",149,50.5,47,69.2,30,9.5,34.277
6,"Armenia","Armenia","Europe",34,60.7,54.1,80.6,20,17.7,2.522
7,"Australia","Australia","Asia-Pacific",4,82.8,86.1,88.2,30,5.4,1.979
8,"Austria","Austria","Europe",29,87.3,73.2,86.4,25,4.8,2.119
9,"Azerbaijan","Azerbaijan","Europe",44,67.1,53.9,74.6,20,5.2,2.3
10,"Bahamas","Bahamas","Americas",69,54.9,46.4,47.8,0,11.9,2.249
11,"Bahrain","Bahrain","Middle East and North Africa",63,70.6,48.4,79.4,0,1,2.1
12,"Bangladesh","Bangladesh","Asia-Pacific",122,41,36.1,63.6,45,4.3,5.564
13,"Barbados","Barbados","Americas",92,56.6,36.1,56.6,5.5,9.6,3.632
14,"Belarus","Belarus","Europe",88,63.2,48.4,82,18,5.7,4.867
15,"Belgium","Belgium","Europe",48,84.5,62.5,86.4,29,6.3,2.311
16,"Belize","Belize","Americas",111,44.4,46.4,64.2,25,9.4,0.294
17,"Benin","Benin","Sub-Saharan Africa",133,41.3,36.4,49.4,30,2.1,1.04
18,"Bhutan","Bhutan","Asia-Pacific",85,69.9,46.4,79.4,30,2.2,3.647
19,"Bolivia","Bolivia","Americas",175,20.1,11.2,67.8,25,3.3,2.326
20,"Bosnia and Herzegovina","BosniaHerzegovina","Europe",82,44.4,33.9,80,10,20.8,1.369
21,"Botswana","Botswana","Sub-Saharan Africa",40,60.9,45.2,82.8,22,17.9,3.241
22,"Brazil","Brazil","Americas",144,57.3,46.7,67.8,34,12.5,3.665
186,"Brunei Darussalam","Brunei","Asia-Pacific",61,69.8,56.8,85,18.5,9.2,0.149
